frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
82,3.904762,near,,513.000,432.000,3.517270,10.672994,,,,,0,legacy
82,3.904762,far,,496.000,345.000,3.296564,7.145646,,,,,0,legacy
83,3.952381,near,,512.000,433.000,3.501526,10.707148,,,,,0,legacy
83,3.952381,far,,496.000,359.000,3.290261,7.798815,,,,,0,legacy
84,4.000000,near,,514.000,432.000,3.532255,10.672994,,,,,0,legacy
84,4.000000,far,,490.000,349.000,3.189083,7.336200,,,,,0,legacy
85,4.047619,near,,518.000,429.000,3.594974,10.569792,,,,,0,legacy
85,4.047619,far,,495.000,343.000,3.279662,7.049148,,,,,0,legacy
86,4.095238,near,,520.000,435.000,3.619254,10.775091,,,,,0,legacy
86,4.095238,far,,494.000,342.000,3.262222,7.000590,,,,,0,legacy
87,4.142857,near,,520.000,437.000,3.617330,10.842550,,,,,0,legacy
87,4.142857,far,,493.000,360.000,3.238201,7.844028,,,,,0,legacy
88,4.190476,near,,522.000,450.000,3.634188,11.269604,,,,,0,legacy
88,4.190476,far,,492.000,357.000,3.221879,7.707827,,,,,0,legacy
89,4.238095,near,,520.000,451.000,3.604242,11.301656,,,,,0,legacy
89,4.238095,far,,487.000,351.000,3.136020,7.430277,,,,,0,legacy
90,4.285714,near,,520.000,450.000,3.605156,11.269604,,,,,0,legacy
90,4.285714,far,,479.000,343.000,2.994342,7.049148,,,,,0,legacy
91,4.333333,near,,506.000,435.000,3.410587,10.775091,,,,,0,legacy
91,4.333333,far,,496.000,353.000,3.292917,7.523567,,,,,0,legacy
92,4.380952,near,,499.000,423.000,3.311238,10.360001,,,,,0,legacy
92,4.380952,far,,492.000,357.000,3.221879,7.707827,,,,,0,legacy
93,4.428571,near,,495.000,418.000,3.251896,10.181635,,,,,0,legacy
93,4.428571,far,,489.000,355.000,3.170315,7.616081,,,,,0,legacy
94,4.476190,near,,488.000,410.000,3.145282,9.889320,,,,,0,legacy
94,4.476190,far,,487.000,354.000,3.135660,7.569920,,,,,0,legacy
