frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
94,4.476190,near,3.507000,11.121000,11.121000,3.507000
94,4.476190,far,3.702000,8.585000,8.585000,3.702000
95,4.523810,near,3.705000,11.222000,11.222000,3.705000
95,4.523810,far,3.016000,8.680000,8.680000,3.016000
96,4.571429,near,4.047000,11.352000,11.352000,4.047000
96,4.571429,far,2.089000,8.822000,8.822000,2.089000
97,4.619048,near,5.287000,11.706000,11.706000,5.287000
97,4.619048,far,2.603000,8.969000,8.969000,2.603000
98,4.666667,near,3.793000,11.706000,11.706000,3.793000
98,4.666667,far,2.036000,9.004000,9.004000,2.036000
99,4.714286,near,3.849000,11.910000,11.910000,3.849000
99,4.714286,far,2.389000,9.210000,9.210000,2.389000
100,4.761905,near,2.760000,11.910000,11.910000,2.760000
100,4.761905,far,3.440000,9.568000,9.568000,3.440000
101,4.809524,near,3.754000,12.295000,12.295000,3.754000
101,4.809524,far,3.602000,9.709000,9.709000,3.602000
102,4.857143,near,4.713000,12.698000,12.698000,4.713000
102,4.857143,far,4.165000,10.012000,10.012000,4.165000
103,4.904762,near,4.743000,13.061000,13.061000,4.743000
103,4.904762,far,4.891000,10.366000,10.366000,4.891000
104,4.952381,near,5.034000,13.144000,13.144000,5.034000
104,4.952381,far,4.767000,10.366000,10.366000,4.767000
105,5.000000,near,4.368000,13.158000,13.158000,4.368000
105,5.000000,far,4.501000,10.496000,10.496000,4.501000
106,5.047619,near,4.471000,13.187000,13.187000,4.471000
106,5.047619,far,3.424000,10.547000,10.547000,3.424000
107,5.095238,near,3.533000,13.304000,13.304000,3.533000
107,5.095238,far,2.931000,10.547000,10.547000,2.931000
108,5.142857,near,2.605000,13.443000,13.443000,2.605000
108,5.142857,far,1.872000,10.547000,10.547000,1.872000
109,5.190476,near,2.172000,13.682000,13.682000,2.172000
109,5.190476,far,0.631000,10.547000,10.547000,0.631000
110,5.238095,near,2.973000,13.994000,13.994000,2.973000
110,5.238095,far,0.755000,10.582000,10.582000,0.755000
111,5.285714,near,3.585000,14.182000,14.182000,3.585000
111,5.285714,far,0.466000,10.629000,10.629000,0.466000
112,5.333333,near,4.721000,14.536000,14.536000,4.721000
112,5.333333,far,0.455000,10.677000,10.677000,0.455000
113,5.380952,near,4.810000,14.678000,14.678000,4.810000
113,5.380952,far,0.455000,10.677000,10.677000,0.455000
114,5.428571,near,4.622000,14.763000,14.763000,4.622000
114,5.428571,far,1.010000,10.835000,10.835000,1.010000
115,5.476190,near,4.776000,15.046000,15.046000,4.776000
115,5.476190,far,1.509000,10.978000,10.978000,1.509000
116,5.523810,near,3.684000,15.046000,15.046000,3.684000
116,5.523810,far,1.386000,10.978000,10.978000,1.386000
117,5.571429,near,3.599000,15.211000,15.211000,3.599000
117,5.571429,far,1.475000,11.051000,11.051000,1.475000
118,5.619048,near,3.587000,15.561000,15.561000,3.587000
118,5.619048,far,2.021000,11.254000,11.254000,2.021000
