frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
116,5.523810,near,,,,,,,,,,0.000000,missing
116,5.523810,far,1,463.000,447.000,2.770982,1.288595,422.280,295.551,532.112,476.644,0.906868,detected
117,5.571429,near,,,,,,,,,,0.000000,missing
117,5.571429,far,1,474.000,446.000,2.883276,1.347141,437.681,295.518,541.207,467.599,0.918841,detected
118,5.619048,near,,,,,,,,,,0.000000,missing
118,5.619048,far,1,493.000,439.000,3.082602,1.796140,461.669,296.754,557.848,459.966,0.903456,detected
119,5.666667,near,,,,,,,,,,0.000000,missing
119,5.666667,far,1,503.000,439.000,3.189746,1.792343,474.280,292.491,568.411,455.674,0.885739,detected
120,5.714286,near,,,,,,,,,,0.000000,missing
120,5.714286,far,1,515.000,431.000,3.334157,2.355446,485.063,290.514,576.918,451.162,0.902120,detected
121,5.761905,near,,,,,,,,,,0.000000,missing
121,5.761905,far,1,525.000,432.000,3.443531,2.277202,496.939,292.166,584.625,445.807,0.895062,detected
122,5.809524,near,,,,,,,,,,0.000000,missing
122,5.809524,far,1,535.000,434.000,3.548072,2.127921,510.751,301.303,592.386,443.823,0.876572,detected
123,5.857143,near,,,,,,,,,,0.000000,missing
123,5.857143,far,1,549.000,432.000,3.710501,2.267046,525.196,297.551,608.717,443.328,0.878385,detected
124,5.904762,near,,,,,,,,,,0.000000,missing
124,5.904762,far,1,564.000,431.000,3.882409,2.334377,535.819,298.577,618.669,442.865,0.886961,detected
125,5.952381,near,,,,,,,,,,0.000000,missing
125,5.952381,far,1,566.000,430.000,3.910358,2.408081,541.605,299.537,624.274,442.606,0.903119,detected
126,6.000000,near,,,,,,,,,,0.000000,missing
126,6.000000,far,1,576.000,426.000,4.048623,2.711146,547.041,299.082,630.249,442.057,0.905324,detected
127,6.047619,near,,,,,,,,,,0.000000,missing
127,6.047619,far,1,583.000,423.000,4.151051,2.948732,552.823,298.683,635.865,441.258,0.919042,detected
128,6.095238,near,,,,,,,,,,0.000000,missing
128,6.095238,far,1,592.000,419.000,4.289824,3.280074,561.532,300.410,640.743,438.599,0.889104,detected
129,6.142857,near,,,,,,,,,,0.000000,missing
129,6.142857,far,1,597.000,414.000,4.396300,3.722818,568.086,300.988,641.671,432.571,0.859306,detected
130,6.190476,near,,,,,,,,,,0.000000,missing
130,6.190476,far,1,600.000,413.000,4.443432,3.813844,573.925,292.590,647.678,428.603,0.856964,detected
131,6.238095,near,,,,,,,,,,0.000000,missing
131,6.238095,far,1,606.000,408.000,4.572772,4.293615,578.211,287.835,649.907,425.240,0.822739,detected
132,6.285714,near,,,,,,,,,,0.000000,missing
132,6.285714,far,1,611.000,404.000,4.685673,4.702423,582.317,283.380,652.033,422.336,0.824787,detected
133,6.333333,near,,,,,,,,,,0.000000,missing
133,6.333333,far,1,622.000,405.000,4.818224,4.589842,585.761,274.856,656.540,420.438,0.861525,detected
134,6.380952,near,,,,,,,,,,0.000000,missing
134,6.380952,far,1,628.000,403.000,4.925351,4.797484,590.784,272.332,660.030,417.965,0.864948,detected
135,6.428571,near,,,,,,,,,,0.000000,missing
135,6.428571,far,1,633.000,402.000,5.006950,4.902156,593.761,270.175,662.568,417.015,0.872499,detected
136,6.476190,near,,,,,,,,,,0.000000,missing
136,6.476190,far,1,623.000,468.000,4.252717,0.086582,580.369,290.806,662.929,468.927,0.890532,detected
137,6.523810,near,,,,,,,,,,0.000000,missing
